player,team,position,price,minutes_avg,goals,assists,xg90,xa90,next_opponent
Bruno Borges Fernandes,MUN,MID,9.8,90.00,6,12,0.370,0.304,EVE (A)
Matheus Santos Carneiro da Cunha,MUN,MID,8.1,51.00,6,2,0.284,0.127,EVE (A)
Amad Diallo,MUN,MID,6.2,89.40,2,4,0.216,0.176,EVE (A)
Carlos Henrique Casimiro,MUN,MID,5.6,84.00,5,4,0.215,0.126,EVE (A)
Mason Mount,MUN,MID,5.9,0.20,3,0,0.186,0.150,EVE (A)
Manuel Ugarte Ribeiro,MUN,MID,4.7,5.40,0,0,0.037,0.018,EVE (A)
Jack Fletcher,MUN,MID,4.3,0.00,0,0,0.035,0.107,EVE (A)
Kobbie Mainoo,MUN,MID,4.6,90.00,0,2,0.018,0.072,EVE (A)
Bendito Mantato,MUN,MID,4.5,0.00,0,0,0.000,0.235,EVE (A)
Antony dos Santos,MUN,MID,5.9,0.00,0,0,0.000,0.000,EVE (A)
Jack Moorhouse,MUN,MID,4.5,0.00,0,0,0.000,0.000,EVE (A)
Jayce Fitzgerald,MUN,MID,4.3,0.00,0,0,0.000,0.000,EVE (A)
Marcus Rashford,MUN,MID,7.0,0.00,0,0,0.000,0.000,EVE (A)
Sékou Koné,MUN,MID,4.3,0.00,0,0,0.000,0.000,EVE (A)
Toby Collyer,MUN,MID,4.5,0.00,0,0,0.000,0.000,EVE (A)
Tyler Fletcher,MUN,MID,4.4,0.20,0,0,0.000,0.000,EVE (A)
Jamaal Lascelles,NEW,DEF,4.3,0.00,0,0,0.881,0.000,MCI (A)
Malick Thiaw,NEW,DEF,5.0,90.00,4,0,0.193,0.036,MCI (A)
Sven Botman,NEW,DEF,4.9,72.00,1,1,0.092,0.051,MCI (A)
Fabian Schär,NEW,DEF,5.2,0.00,0,0,0.079,0.013,MCI (A)
Lewis Hall,NEW,DEF,5.3,71.80,0,2,0.058,0.122,MCI (A)
Tino Livramento,NEW,DEF,4.9,0.00,0,1,0.010,0.049,MCI (A)
Dan Burn,NEW,DEF,5.0,36.60,0,3,0.009,0.023,MCI (A)
Kieran Trippier,NEW,DEF,4.9,87.80,0,0,0.004,0.121,MCI (A)
Alex Murphy,NEW,DEF,3.8,0.20,0,0,0.000,0.000,MCI (A)
Emil Krafth,NEW,DEF,4.3,0.00,0,0,0.000,0.000,MCI (A)
Harrison Ashby,NEW,DEF,3.9,0.00,0,0,0.000,0.000,MCI (A)
Leo Shahar,NEW,DEF,4.0,0.00,0,0,0.000,0.000,MCI (A)
Matt Targett,NEW,DEF,4.0,0.00,0,0,0.000,0.000,MCI (A)
Miodrag Pivaš,NEW,DEF,3.8,0.00,0,0,0.000,0.000,MCI (A)
Yoane Wissa,NEW,FWD,7.3,33.00,1,0,0.539,0.030,MCI (A)
Nick Woltemade,NEW,FWD,6.9,31.60,7,3,0.475,0.071,MCI (A)
William Osula,NEW,FWD,5.4,6.60,1,1,0.361,0.027,MCI (A)
Sean Neave,NEW,FWD,4.3,0.00,0,0,0.000,0.000,MCI (A)
Aaron Ramsdale,NEW,GKP,4.8,0.00,0,0,0.000,0.012,MCI (A)
John Ruddy,NEW,GKP,4.0,0.00,0,0,0.000,0.000,MCI (A)
Mark Gillespie,NEW,GKP,3.9,0.00,0,0,0.000,0.000,MCI (A)
Nick Pope,NEW,GKP,5.1,90.00,0,1,0.000,0.000,MCI (A)
Odysseas Vlachodimos,NEW,GKP,4.0,0.00,0,0,0.000,0.000,MCI (A)
Harvey Barnes,NEW,MID,6.1,86.40,5,0,0.413,0.151,MCI (A)
Anthony Gordon,NEW,MID,7.2,61.00,3,4,0.394,0.230,MCI (A)
Jacob Murphy,NEW,MID,5.9,15.40,2,1,0.233,0.332,MCI (A)
Bruno Guimarães Rodriguez Moura,NEW,MID,7.0,54.00,9,6,0.215,0.161,MCI (A)
Joe Willock,NEW,MID,5.0,42.00,0,0,0.151,0.103,MCI (A)
Jacob Ramsey,NEW,MID,5.3,41.80,1,0,0.115,0.065,MCI (A)
Joelinton Cássio Apolinário de Lira,NEW,MID,5.9,27.40,2,0,0.115,0.064,MCI (A)
Lewis Miley,NEW,MID,4.5,22.60,1,3,0.112,0.139,MCI (A)
Anthony Elanga,NEW,MID,6.5,48.20,0,1,0.109,0.157,MCI (A)
Sandro Tonali,NEW,MID,5.3,68.00,0,1,0.058,0.094,MCI (A)
Antoñito Cordero Campillo,NEW,MID,4.9,0.00,0,0,0.000,0.000,MCI (A)
Garang Kuol,NEW,MID,4.4,0.00,0,0,0.000,0.000,MCI (A)
Isaac Hayden,NEW,MID,4.5,0.00,0,0,0.000,0.000,MCI (A)
Joe White,NEW,MID,4.5,0.00,0,0,0.000,0.000,MCI (A)
Sam Alabi,NEW,MID,4.5,0.00,0,0,0.000,0.000,MCI (A)
Seung-Soo Park,NEW,MID,4.3,0.00,0,0,0.000,0.000,MCI (A)
Nicolò Savona,NFO,DEF,4.5,0.00,2,0,0.107,0.052,LIV (H)
Felipe Rodrigues da Silva,NFO,DEF,4.3,45.60,0,0,0.080,0.008,LIV (H)
Neco Williams,NFO,DEF,4.7,62.80,1,1,0.053,0.125,LIV (H)
Ola Aina,NFO,DEF,4.7,90.00,0,1,0.032,0.026,LIV (H)
Murillo Costa dos Santos,NFO,DEF,5.2,54.00,1,0,0.028,0.025,LIV (H)
Nikola Milenković,NFO,DEF,5.1,90.00,0,0,0.028,0.016,LIV (H)
Oleksandr Zinchenko,NFO,DEF,4.9,0.00,0,0,0.020,0.117,LIV (H)
David Mota Veiga Teixeira do Carmo,NFO,DEF,4.5,0.00,0,0,0.000,0.000,LIV (H)
Jair Paula da Cunha Filho,NFO,DEF,4.2,0.00,0,0,0.000,0.000,LIV (H)
Luca Netz,NFO,DEF,4.5,7.00,0,0,0.000,0.000,LIV (H)
Luis Eduardo Soares da Silva,NFO,DEF,4.5,0.00,0,0,0.000,0.000,LIV (H)
Omar Richards,NFO,DEF,4.5,0.00,0,0,0.000,0.000,LIV (H)
Willy Boly,NFO,DEF,3.8,0.00,0,0,0.000,0.000,LIV (H)
Zach Abbott,NFO,DEF,3.8,15.00,0,0,0.000,0.000,LIV (H)
Lorenzo Lucca,NFO,FWD,5.5,35.33,1,0,0.949,0.000,LIV (H)
Taiwo Awoniyi,NFO,FWD,5.2,4.40,1,0,0.670,0.369,LIV (H)
Chris Wood,NFO,FWD,7.2,0.00,2,0,0.332,0.028,LIV (H)
Igor Jesus Maciel da Cruz,NFO,FWD,5.8,56.60,2,2,0.259,0.054,LIV (H)
Arnaud Kalimuendo,NFO,FWD,6.0,0.00,0,0,0.000,0.000,LIV (H)
Angus Gunn,NFO,GKP,4.0,9.00,0,0,0.000,0.000,LIV (H)
Carlos Miguel dos Santos Pereira,NFO,GKP,4.0,0.00,0,0,0.000,0.000,LIV (H)
John Victor Maciel Furtado,NFO,GKP,4.0,0.00,0,0,0.000,0.000,LIV (H)
Matt Turner,NFO,GKP,4.0,0.00,0,0,0.000,0.000,LIV (H)
Matz Sels,NFO,GKP,4.6,45.00,0,0,0.000,0.000,LIV (H)
Stefan Ortega Moreno,NFO,GKP,4.7,36.00,0,0,0.000,0.000,LIV (H)
Morgan Gibbs-White,NFO,MID,7.3,85.20,6,2,0.293,0.115,LIV (H)
Dilane Bakwa,NFO,MID,5.9,0.00,0,1,0.181,0.211,LIV (H)
Omari Hutchinson,NFO,MID,5.4,31.20,1,5,0.171,0.311,LIV (H)
Callum Hudson-Odoi,NFO,MID,5.7,70.20,3,1,0.150,0.188,LIV (H)
Dan Ndoye,NFO,MID,5.5,16.40,1,2,0.092,0.124,LIV (H)
Elliot Anderson,NFO,MID,5.4,90.00,1,3,0.081,0.085,LIV (H)
Nicolás Domínguez,NFO,MID,5.0,49.20,1,0,0.077,0.070,LIV (H)
Ibrahim Sangaré,NFO,MID,4.9,90.00,2,2,0.071,0.090,LIV (H)
Ryan Yates,NFO,MID,4.7,13.60,0,1,0.027,0.036,LIV (H)
James McAtee,NFO,MID,5.0,0.00,0,0,0.008,0.174,LIV (H)
Eric da Silva Moreira,NFO,MID,4.5,0.00,0,0,0.000,0.000,LIV (H)
João Pedro Ferreira da Silva,NFO,MID,5.4,0.00,0,0,0.000,0.000,LIV (H)
Lewis O'Brien,NFO,MID,5.0,0.00,0,0,0.000,0.000,LIV (H)
Marko Stamenić,NFO,MID,4.5,0.00,0,0,0.000,0.000,LIV (H)
Daniel Ballard,SUN,DEF,4.6,90.00,2,1,0.120,0.027,FUL (H)
Trai Hume,SUN,DEF,4.5,77.60,0,1,0.080,0.051,FUL (H)
Nordi Mukiele,SUN,DEF,4.6,88.40,1,5,0.075,0.105,FUL (H)
Omar Alderete,SUN,DEF,4.1,86.80,1,1,0.059,0.024,FUL (H)
Arthur Masuaku,SUN,DEF,3.9,0.00,0,0,0.053,0.040,FUL (H)
Lutsharel Geertruida,SUN,DEF,4.5,7.80,0,0,0.053,0.038,FUL (H)
Reinildo Mandava,SUN,DEF,3.8,81.00,0,2,0.008,0.029,FUL (H)
Aji Alese,SUN,DEF,4.0,0.00,0,0,0.000,0.000,FUL (H)
Dennis Cirkin,SUN,DEF,4.0,9.40,0,0,0.000,0.000,FUL (H)
Jenson Jones,SUN,DEF,4.0,0.00,0,0,0.000,0.000,FUL (H)
Jenson Seelt,SUN,DEF,4.0,0.00,0,0,0.000,0.000,FUL (H)
Joe Anderson,SUN,DEF,3.8,0.00,0,0,0.000,0.000,FUL (H)
Leo Fuhr Hjelde,SUN,DEF,4.0,0.00,0,0,0.000,0.000,FUL (H)
Luke O'Nien,SUN,DEF,4.0,2.20,0,0,0.000,0.000,FUL (H)
Niall Huggins,SUN,DEF,4.0,0.00,0,0,0.000,0.000,FUL (H)
Timothée Pembélé,SUN,DEF,3.9,0.00,0,0,0.000,0.000,FUL (H)
Zak Johnson,SUN,DEF,3.8,0.00,0,0,0.000,0.000,FUL (H)
Wilson Isidor,SUN,FWD,5.1,6.20,4,0,0.399,0.000,FUL (H)
Brian Brobbey,SUN,FWD,5.5,85.20,5,1,0.239,0.049,FUL (H)
Eliezer Mayenda Dossou,SUN,FWD,5.2,16.00,1,0,0.165,0.022,FUL (H)
Ahmed Abdullahi,SUN,FWD,4.2,0.00,0,0,0.000,0.000,FUL (H)
Luís Hemir Silva Semedo,SUN,FWD,4.4,0.00,0,0,0.000,0.000,FUL (H)
Nazarii Rusyn,SUN,FWD,4.4,0.00,0,0,0.000,0.000,FUL (H)
Robin Roefs,SUN,GKP,4.9,90.00,0,0,0.000,0.027,FUL (H)
Anthony Patterson,SUN,GKP,4.2,0.00,0,0,0.000,0.000,FUL (H)
Blondy Nna Noukeu,SUN,GKP,3.9,0.00,0,0,0.000,0.000,FUL (H)
Melker Ellborg,SUN,GKP,4.0,0.00,0,0,0.000,0.000,FUL (H)
Simon Moore,SUN,GKP,3.9,0.00,0,0,0.000,0.000,FUL (H)
Patrick Roberts,SUN,MID,5.4,0.00,0,0,0.266,0.000,FUL (H)
Nilson Angulo,SUN,MID,5.0,42.00,0,0,0.255,0.039,FUL (H)
Enzo Le Fée,SUN,MID,4.9,90.00,3,4,0.157,0.100,FUL (H)
Habib Diarra,SUN,MID,5.3,60.80,1,2,0.149,0.021,FUL (H)
Chemsdine Talbi,SUN,MID,4.9,39.40,3,2,0.114,0.038,FUL (H)
Bertrand Traoré,SUN,MID,5.5,0.00,1,1,0.086,0.136,FUL (H)
Romaine Mundle,SUN,MID,4.9,35.60,0,0,0.082,0.005,FUL (H)
Chris Rigg,SUN,MID,4.7,0.00,0,0,0.058,0.091,FUL (H)
Simon Adingra,SUN,MID,4.9,0.00,1,1,0.045,0.099,FUL (H)
Granit Xhaka,SUN,MID,5.1,18.00,1,5,0.019,0.136,FUL (H)
Noah Sadiki,SUN,MID,4.9,86.00,0,1,0.016,0.020,FUL (H)
Abdoullah Ba,SUN,MID,4.3,0.00,0,0,0.000,0.000,FUL (H)
Alan Browne,SUN,MID,4.5,0.00,0,0,0.000,0.000,FUL (H)
Dan Neil,SUN,MID,4.8,0.00,0,0,0.000,0.000,FUL (H)
Djiamgone Jocelin Ta Bi,SUN,MID,5.0,0.00,0,0,0.000,0.000,FUL (H)
Harrison Jones,SUN,MID,4.3,0.00,0,0,0.000,0.000,FUL (H)
Ian Poveda-Ocampo,SUN,MID,4.8,0.00,0,0,0.000,0.000,FUL (H)
Jay Matete,SUN,MID,4.3,0.00,0,0,0.000,0.000,FUL (H)
Milan Aleksić,SUN,MID,4.9,0.00,0,0,0.000,0.000,FUL (H)
Nectarios Triantis,SUN,MID,4.4,0.00,0,0,0.000,0.000,FUL (H)
Pierre Ekwah Elimby,SUN,MID,4.5,0.00,0,0,0.000,0.000,FUL (H)
Tymur Tutierov,SUN,MID,4.5,0.00,0,0,0.000,0.000,FUL (H)
Ben Davies,TOT,DEF,4.3,3.60,1,0,0.524,0.016,ARS (H)
Micky van de Ven,TOT,DEF,4.5,72.00,4,1,0.101,0.040,ARS (H)
Cristian Romero,TOT,DEF,5.0,50.60,4,1,0.094,0.089,ARS (H)
Radu Drăgușin,TOT,DEF,4.5,47.80,0,0,0.066,0.000,ARS (H)
Djed Spence,TOT,DEF,4.2,50.20,0,0,0.057,0.095,ARS (H)
Pedro Porro Sauceda,TOT,DEF,5.2,27.00,0,3,0.024,0.139,ARS (H)
Destiny Udogie,TOT,DEF,4.3,37.80,0,1,0.018,0.058,ARS (H)
Kevin Danso,TOT,DEF,4.2,15.40,0,0,0.002,0.000,ARS (H)
Ashley Phillips,TOT,DEF,4.0,0.00,0,0,0.000,0.000,ARS (H)
James Rowswell,TOT,DEF,4.0,0.00,0,0,0.000,0.000,ARS (H)
João Victor de Souza Menezes,TOT,DEF,4.0,11.67,0,0,0.000,0.000,ARS (H)
Jun'ai Byfield,TOT,DEF,4.0,0.20,0,0,0.000,0.000,ARS (H)
Luka Vušković,TOT,DEF,3.9,0.00,0,0,0.000,0.000,ARS (H)
Takai Kōta,TOT,DEF,4.0,0.00,0,0,0.000,0.000,ARS (H)
Richarlison de Andrade,TOT,FWD,6.3,0.00,7,3,0.339,0.086,ARS (H)
Dominic Solanke-Mitchell,TOT,FWD,7.2,75.20,2,0,0.265,0.035,ARS (H)
Randal Kolo Muani,TOT,FWD,6.9,37.40,0,0,0.158,0.065,ARS (H)
Dane Scarlett,TOT,FWD,4.3,1.00,0,0,0.000,0.000,ARS (H)
Will Lankshear,TOT,FWD,4.5,0.00,0,0,0.000,0.000,ARS (H)
Antonín Kinský,TOT,GKP,3.9,0.00,0,0,0.000,0.000,ARS (H)
Brandon Austin,TOT,GKP,3.9,0.00,0,0,0.000,0.000,ARS (H)
Guglielmo Vicario,TOT,GKP,4.8,90.00,0,0,0.000,0.000,ARS (H)
Mathys Tel,TOT,MID,6.2,32.00,3,1,0.271,0.052,ARS (H)
Wilson Odobert,TOT,MID,5.3,53.20,0,2,0.234,0.186,ARS (H)
Conor Gallagher,TOT,MID,5.4,82.40,0,1,0.205,0.081,ARS (H)
Mohammed Kudus,TOT,MID,6.4,0.00,2,6,0.135,0.147,ARS (H)
Archie Gray,TOT,MID,4.8,65.40,2,0,0.131,0.056,ARS (H)
Lucas Bergvall,TOT,MID,5.2,0.20,1,2,0.119,0.028,ARS (H)
Pape Matar Sarr,TOT,MID,4.5,45.00,2,3,0.106,0.092,ARS (H)
Xavi Simons,TOT,MID,6.5,90.00,1,4,0.098,0.259,ARS (H)
João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,TOT,MID,5.5,42.80,3,3,0.066,0.033,ARS (H)
Yves Bissouma,TOT,MID,5.2,48.80,0,0,0.056,0.000,ARS (H)
Rodrigo Bentancur,TOT,MID,5.3,0.00,1,1,0.046,0.048,ARS (H)
Bryan Gil Salvatierra,TOT,MID,4.9,0.00,0,0,0.000,0.000,ARS (H)
Callum Olusesi,TOT,MID,4.3,0.00,0,0,0.000,0.000,ARS (H)
Dejan Kulusevski,TOT,MID,6.4,0.00,0,0,0.000,0.000,ARS (H)
James Maddison,TOT,MID,6.8,0.00,0,0,0.000,0.000,ARS (H)
Lucá Williams-Barnett,TOT,MID,4.5,0.00,0,0,0.000,0.000,ARS (H)
Manor Solomon,TOT,MID,5.4,0.00,0,0,0.000,0.000,ARS (H)
Mikey Moore,TOT,MID,5.0,0.00,0,0,0.000,0.000,ARS (H)
Rio Kyerematen,TOT,MID,4.5,0.00,0,0,0.000,0.000,ARS (H)
Son Heung-min,TOT,MID,8.5,0.00,0,0,0.000,0.000,ARS (H)
Yang Min-hyeok,TOT,MID,4.5,0.00,0,0,0.000,0.000,ARS (H)
Yusuf Akhamrich,TOT,MID,4.5,0.00,0,0,0.000,0.000,ARS (H)
Kyle Walker-Peters,WHU,DEF,4.2,0.40,1,0,0.114,0.022,BOU (H)
Ezra Mayers,WHU,DEF,4.0,0.00,0,0,0.104,0.110,BOU (H)
Konstantinos Mavropanos,WHU,DEF,4.4,90.00,0,0,0.056,0.000,BOU (H)
Nayef Aguerd,WHU,DEF,4.4,0.00,0,0,0.050,0.015,BOU (H)
Jean-Clair Todibo,WHU,DEF,4.3,54.00,0,1,0.039,0.022,BOU (H)
Maximilian Kilman,WHU,DEF,4.2,5.20,0,0,0.032,0.014,BOU (H)
Ollie Scarles,WHU,DEF,4.3,38.00,0,1,0.025,0.044,BOU (H)
El Hadji Malick Diouf,WHU,DEF,4.0,51.40,0,5,0.022,0.069,BOU (H)
Axel Disasi,WHU,DEF,4.5,90.00,0,0,0.007,0.012,BOU (H)
Aaron Wan-Bissaka,WHU,DEF,4.1,90.00,0,3,0.000,0.055,BOU (H)
Airidas Golambeckis,WHU,DEF,4.0,0.00,0,0,0.000,0.000,BOU (H)
Emerson Palmieri dos Santos,WHU,DEF,4.4,0.00,0,0,0.000,0.000,BOU (H)
Kaelan Casey,WHU,DEF,4.0,0.00,0,0,0.000,0.000,BOU (H)
Valentín Castellanos,WHU,FWD,5.5,77.00,1,1,0.511,0.043,BOU (H)
Callum Marshall,WHU,FWD,4.3,0.00,0,0,0.468,0.000,BOU (H)
Callum Wilson,WHU,FWD,5.8,22.40,5,2,0.463,0.034,BOU (H)
Jarrod Bowen,WHU,FWD,7.6,87.80,8,4,0.274,0.119,BOU (H)
Niclas Füllkrug,WHU,FWD,5.6,0.00,0,0,0.213,0.097,BOU (H)
Pablo Felipe Pereira de Jesus,WHU,FWD,5.5,44.60,0,0,0.122,0.025,BOU (H)
Alphonse Areola,WHU,GKP,4.3,54.00,0,1,0.000,0.001,BOU (H)
Krisztián Hegyi,WHU,GKP,3.9,0.00,0,0,0.000,0.000,BOU (H)
Lukasz Fabianski,WHU,GKP,4.5,0.00,0,0,0.000,0.000,BOU (H)
Mads Hermansen,WHU,GKP,4.2,36.00,0,0,0.000,0.000,BOU (H)
Wes Foderingham,WHU,GKP,4.0,0.00,0,0,0.000,0.000,BOU (H)
Mohamadou Kanté,WHU,MID,4.5,0.00,0,0,0.737,1.236,BOU (H)
Tomáš Souček,WHU,MID,5.7,90.00,3,2,0.247,0.028,BOU (H)
Crysencio Summerville,WHU,MID,5.6,89.80,4,3,0.212,0.073,BOU (H)
Lucas Tolentino Coelho de Lima,WHU,MID,5.9,0.00,4,2,0.170,0.119,BOU (H)
Adama Traoré Diarra,WHU,MID,5.1,2.20,0,0,0.113,0.182,BOU (H)
Soungoutou Magassa,WHU,MID,5.0,2.20,1,0,0.065,0.090,BOU (H)
Mateus Gonçalo Espanha Fernandes,WHU,MID,5.5,90.00,3,3,0.054,0.087,BOU (H)
Freddie Potts,WHU,MID,4.4,25.40,0,1,0.018,0.098,BOU (H)
Guido Rodríguez,WHU,MID,4.8,2.20,0,0,0.014,0.000,BOU (H)
Andy Irving,WHU,MID,4.3,0.00,0,0,0.000,0.102,BOU (H)
Edson Álvarez Velázquez,WHU,MID,4.9,0.00,0,0,0.000,0.000,BOU (H)
George Earthy,WHU,MID,4.5,0.00,0,0,0.000,0.000,BOU (H)
Keiber Lamadrid,WHU,MID,5.0,0.00,0,0,0.000,0.000,BOU (H)
Lewis Orford,WHU,MID,4.4,0.00,0,0,0.000,0.000,BOU (H)
Luis Guilherme Lira dos Santos,WHU,MID,4.9,0.00,0,0,0.000,0.000,BOU (H)
Maxwel Cornet,WHU,MID,4.9,0.00,0,0,0.000,0.000,BOU (H)
Rodrigo Martins Gomes,WOL,DEF,4.4,43.80,1,0,0.178,0.047,CRY (A)
Santiago Ignacio Bueno,WOL,DEF,4.4,71.60,2,1,0.098,0.061,CRY (A)
Yerson Mosquera Valdelamar,WOL,DEF,4.3,72.00,0,0,0.096,0.019,CRY (A)
Ladislav Krejcí,WOL,DEF,4.5,45.40,2,1,0.073,0.042,CRY (A)
Emmanuel Agbadou,WOL,DEF,4.2,18.00,0,0,0.037,0.014,CRY (A)
Hugo Bueno López,WOL,DEF,4.3,65.40,0,2,0.026,0.126,CRY (A)
Matt Doherty,WOL,DEF,4.4,9.00,0,0,0.011,0.023,CRY (A)
David Møller Wolfe,WOL,DEF,4.2,6.20,0,2,0.010,0.150,CRY (A)
Jackson Tchatchoua,WOL,DEF,4.4,15.00,0,0,0.004,0.106,CRY (A)
Toti Gomes,WOL,DEF,4.2,0.00,0,0,0.004,0.020,CRY (A)
Ki-Jana Hoever,WOL,DEF,3.8,0.00,0,0,0.002,0.070,CRY (A)
Alfie Pond,WOL,DEF,3.9,0.00,0,0,0.000,0.000,CRY (A)
Bastien Meupiyou Menadjou,WOL,DEF,4.0,0.00,0,0,0.000,0.000,CRY (A)
Pedro Cardoso de Lima,WOL,DEF,4.0,0.40,0,0,0.000,0.000,CRY (A)
Saheed Olagunju,WOL,DEF,4.0,0.00,0,0,0.000,0.000,CRY (A)
Tolu Arokodare,WOL,FWD,5.4,57.80,2,1,0.339,0.058,CRY (A)
Mateus Mané,WOL,FWD,4.6,72.00,2,2,0.121,0.096,CRY (A)
Adam Armstrong,WOL,FWD,5.5,60.00,0,1,0.000,0.349,CRY (A)
Fábio Soares Silva,WOL,FWD,4.9,0.00,0,0,0.000,0.000,CRY (A)
Leon Chiwome,WOL,FWD,4.4,0.00,0,0,0.000,0.000,CRY (A)
Nathan Fraser,WOL,FWD,4.2,0.00,0,0,0.000,0.000,CRY (A)
Saša Kalajdžić,WOL,FWD,4.9,0.00,0,0,0.000,0.000,CRY (A)
José Malheiro de Sá,WOL,GKP,4.2,72.00,0,0,0.000,0.002,CRY (A)
Daniel Bentley,WOL,GKP,3.9,0.00,0,0,0.000,0.000,CRY (A)
Sam Johnstone,WOL,GKP,4.4,0.00,0,0,0.000,0.000,CRY (A)
Jhon Arias,WOL,MID,4.9,11.00,1,0,0.260,0.071,CRY (A)
Marshall Munetsi,WOL,MID,5.3,0.00,1,2,0.192,0.040,CRY (A)
Hwang Hee-chan,WOL,MID,5.6,36.20,2,1,0.165,0.072,CRY (A)
Jean-Ricner Bellegarde,WOL,MID,5.1,8.40,1,0,0.082,0.077,CRY (A)
Fer López González,WOL,MID,5.1,0.00,0,1,0.063,0.241,CRY (A)
João Victor Gomes da Silva,WOL,MID,5.3,72.00,0,0,0.037,0.059,CRY (A)
Angel Gomes,WOL,MID,5.0,51.67,0,0,0.030,0.078,CRY (A)
André Trindade da Costa Neto,WOL,MID,5.3,33.80,0,0,0.010,0.036,CRY (A)
Boubacar Traoré,WOL,MID,5.0,0.00,0,0,0.000,0.000,CRY (A)
Enso González Medina,WOL,MID,4.3,0.00,0,0,0.000,0.000,CRY (A)
Ethan Sutherland,WOL,MID,4.5,0.00,0,0,0.000,0.000,CRY (A)
Gonçalo Manuel Ganchinho Guedes,WOL,MID,5.5,0.00,0,0,0.000,0.000,CRY (A)
Jerome Abbey,WOL,MID,4.5,0.00,0,0,0.000,0.000,CRY (A)
Joe Hodge,WOL,MID,4.5,0.00,0,0,0.000,0.000,CRY (A)
Luke Rawlings,WOL,MID,4.5,0.00,0,0,0.000,0.000,CRY (A)
Tawanda Chirewa,WOL,MID,4.3,0.00,0,0,0.000,0.000,CRY (A)
Temple Ojinnaka,WOL,MID,4.5,0.00,0,0,0.000,0.000,CRY (A)
Tom Edozie,WOL,MID,4.3,0.00,0,0,0.000,0.000,CRY (A)
